id,dt,amount,product,category,db
9f6375ba-d0ad-11ec-b96e-08c5e1cbfad9,2017-07-28,66.0,RDS,Stuff,expenses
9f66c543-d0ad-11ec-9b6a-08c5e1cbfad9,2017-08-01,1158.0,Bilete avion,Stuff,expenses
9f676f9f-d0ad-11ec-8be1-08c5e1cbfad9,2017-08-09,32.0,Cartela Orange Alin,For house,expenses
9f682733-d0ad-11ec-beb8-08c5e1cbfad9,2017-08-22,32.0,Cartela Vodafone Alin,For house,expenses
9f68cef5-d0ad-11ec-b13c-08c5e1cbfad9,2017-08-23,7.0,Comisioane ING,For house,expenses
9f699387-d0ad-11ec-b91b-08c5e1cbfad9,2017-09-09,32.0,Cartela Orange Alin,For house,expenses
9f6a4346-d0ad-11ec-ba1c-08c5e1cbfad9,2017-09-18,32.0,Cartela Vodafone Alin,For house,expenses
9f6af7ed-d0ad-11ec-a54d-08c5e1cbfad9,2017-09-18,5.0,Anglia,Stuff,expenses
9f6baf38-d0ad-11ec-98c0-08c5e1cbfad9,2017-09-18,21.0,Anglia,Stuff,expenses
9f6c5013-d0ad-11ec-b7a3-08c5e1cbfad9,2017-09-19,205.0,Amazon,Stuff,expenses
9f6cf5e3-d0ad-11ec-97fd-08c5e1cbfad9,2017-09-19,31.0,Amazon,Stuff,expenses
9f6dcdcd-d0ad-11ec-ba4c-08c5e1cbfad9,2017-09-19,71.0,Amazon,Stuff,expenses
9f6e8859-d0ad-11ec-a062-08c5e1cbfad9,2017-09-19,51.0,Anglia transport,Stuff,expenses
9f6f33ec-d0ad-11ec-bd08-08c5e1cbfad9,2017-09-20,88.0,Amazon,Stuff,expenses
9f6fd38d-d0ad-11ec-9104-08c5e1cbfad9,2017-09-20,49.0,Amazon,Stuff,expenses
9f70d017-d0ad-11ec-8319-08c5e1cbfad9,2017-09-20,71.0,Amazon,Stuff,expenses
9f71bb68-d0ad-11ec-ac06-08c5e1cbfad9,2017-09-20,30.0,Anglia transport,Stuff,expenses
9f7289b6-d0ad-11ec-8400-08c5e1cbfad9,2017-09-20,27.0,Anglia Tesco,Stuff,expenses
9f73598d-d0ad-11ec-a684-08c5e1cbfad9,2017-09-21,16.0,Anglia transport,Stuff,expenses
9f749c0d-d0ad-11ec-aed3-08c5e1cbfad9,2017-09-22,30.0,Anglia transport,Stuff,expenses
9f75c968-d0ad-11ec-9454-08c5e1cbfad9,2017-09-22,4.0,Anglia Tesco,Stuff,expenses
9f769ace-d0ad-11ec-9cd8-08c5e1cbfad9,2017-09-23,7.0,Comisioane ING,Stuff,expenses
9f7777d2-d0ad-11ec-b4a9-08c5e1cbfad9,2017-09-24,30.0,Motorina,Fuel,expenses
9f787614-d0ad-11ec-b01b-08c5e1cbfad9,2017-09-25,30.0,Anglia transport,Stuff,expenses
9f7983ae-d0ad-11ec-98d4-08c5e1cbfad9,2017-09-25,8.0,Anglia transport,Stuff,expenses
9f7b7740-d0ad-11ec-adeb-08c5e1cbfad9,2017-09-25,50.0,Anglia McDonalds,Food,expenses
9f7c5308-d0ad-11ec-99f2-08c5e1cbfad9,2017-09-26,163.0,Carrefour,Food,expenses
9f7d7bef-d0ad-11ec-b4e6-08c5e1cbfad9,2017-10-10,32.0,Cartela Orange,For house,expenses
9f7e9386-d0ad-11ec-90ee-08c5e1cbfad9,2017-10-10,66.0,RDS,For house,expenses
9f7f8773-d0ad-11ec-8ea0-08c5e1cbfad9,2017-10-17,32.0,Cartela Vodafone Alin,For house,expenses
9f80810a-d0ad-11ec-82bb-08c5e1cbfad9,2017-11-11,32.0,Cartela Orange Alin,For house,expenses
9f81c89e-d0ad-11ec-85fc-08c5e1cbfad9,2017-11-14,32.0,Cartela Vodafone Alin,For house,expenses
9f837857-d0ad-11ec-b5cb-08c5e1cbfad9,2017-11-14,144.0,Jocuri Steam,Stuff,expenses
9f8561c6-d0ad-11ec-9050-08c5e1cbfad9,2017-11-29,31.0,Anglia posibil,Stuff,expenses
9f8666f2-d0ad-11ec-8cc8-08c5e1cbfad9,2017-11-30,27.0,Cartela Vodafone Mami,For house,expenses
9f884020-d0ad-11ec-8c3f-08c5e1cbfad9,2017-12-02,30.0,Motorina,Fuel,expenses
9f89a186-d0ad-11ec-99e1-08c5e1cbfad9,2017-12-02,10.0,Benzina,Fuel,expenses
9f8ace86-d0ad-11ec-a5b8-08c5e1cbfad9,2017-12-02,10.0,Lidl,Food,expenses
9f8c00c6-d0ad-11ec-b772-08c5e1cbfad9,2017-12-02,5.0,Cafea,Beverages,expenses
9f8d6a4e-d0ad-11ec-8403-08c5e1cbfad9,2017-12-03,38.0,Piata,Food,expenses
9f8ef0e4-d0ad-11ec-9a18-08c5e1cbfad9,2017-12-04,50.0,Motorina,Fuel,expenses
9f903993-d0ad-11ec-800d-08c5e1cbfad9,2017-12-04,17.0,Tigari,Cigarette,expenses
9f918ec7-d0ad-11ec-b5df-08c5e1cbfad9,2017-12-06,50.0,Pizzico,Food,expenses
9f92d7b1-d0ad-11ec-af45-08c5e1cbfad9,2017-12-06,12.0,Cola Baterii,Stuff,expenses
9f947bed-d0ad-11ec-9d11-08c5e1cbfad9,2017-12-07,11.0,Cafea McDonalds,Beverages,expenses
9f9594a3-d0ad-11ec-b2d2-08c5e1cbfad9,2017-12-07,20.0,Tigari apa,Cigarette,expenses
