id,dt,income,details,other,db
1a5f74c2-d79d-11ec-a1bd-7ec7e3559253,2016-03-29,100.0,Angelli,Laur,income
1a5f7562-d79d-11ec-a1bd-7ec7e3559253,2016-04-07,250.0,Drum Ciucurova,Laur,income
1a5f758a-d79d-11ec-a1bd-7ec7e3559253,2016-04-07,50.0,"Toma Stelian 3,casa",Laur,income
1a5f75a8-d79d-11ec-a1bd-7ec7e3559253,2016-04-08,100.0,Oituz 17,Laur,income
1a5f75bc-d79d-11ec-a1bd-7ec7e3559253,2016-04-09,150.0,Mircea cel Batran 50,Laur,income
1a5f75da-d79d-11ec-a1bd-7ec7e3559253,2016-04-12,100.0,Ap poarta 6,Mami,income
1a5f75f8-d79d-11ec-a1bd-7ec7e3559253,2016-04-12,200.0,Trasare A210,Alin,income
1a5f760c-d79d-11ec-a1bd-7ec7e3559253,2016-04-13,150.0,Magazin Soveja,Mami,income
1a5f762a-d79d-11ec-a1bd-7ec7e3559253,2016-04-13,150.0,Blocuri Mamaia Nord,Laur,income
1a5f7648-d79d-11ec-a1bd-7ec7e3559253,2016-04-25,300.0,Voicu Vasile,Alin,income
1a5f765c-d79d-11ec-a1bd-7ec7e3559253,2016-04-25,250.0,Frunzelor 25,Ionescu,income
1a5f767a-d79d-11ec-a1bd-7ec7e3559253,2016-04-27,200.0,Plan cotat Mamaia 3 vile,Ionescu,income
1a5f768e-d79d-11ec-a1bd-7ec7e3559253,2016-04-28,300.0,Trasare Cad2027 Mamaia,Ionescu,income
1a5f76ac-d79d-11ec-a1bd-7ec7e3559253,2016-05-06,200.0,Nicolae Iorga 2,Ionescu,income
1a5f76c0-d79d-11ec-a1bd-7ec7e3559253,2016-05-06,250.0,"Calugareni 8,Eforie Nord",Ionescu,income
1a5f76d4-d79d-11ec-a1bd-7ec7e3559253,2016-05-06,250.0,Costinesti,Ionescu,income
1a5f76f2-d79d-11ec-a1bd-7ec7e3559253,2016-05-06,200.0,Sasu Gheorghe,Ionescu,income
1a5f7706-d79d-11ec-a1bd-7ec7e3559253,2016-05-09,100.0,Garsoniera km5,Mami,income
1a5f7724-d79d-11ec-a1bd-7ec7e3559253,2016-05-10,250.0,Trasare Comarnic,Alin,income
1a5f7738-d79d-11ec-a1bd-7ec7e3559253,2016-05-11,100.0,Masurat Piata Ovidiu,Ionescu,income
1a5f7756-d79d-11ec-a1bd-7ec7e3559253,2016-05-12,200.0,Trasare teren D25 Mamaia,Alin,income
1a5f776a-d79d-11ec-a1bd-7ec7e3559253,2016-05-12,100.0,Trasare teren Carrefour,Alin,income
1a5f7788-d79d-11ec-a1bd-7ec7e3559253,2016-05-13,250.0,Decebal 41,Mami,income
1a5f779c-d79d-11ec-a1bd-7ec7e3559253,2016-05-14,150.0,Trasare strada D25 Mamaia,Alin,income
1a5f77ba-d79d-11ec-a1bd-7ec7e3559253,2016-05-16,300.0,"Palazu Mare,Alexandru Sahia 24",Ionescu,income
1a5f77ce-d79d-11ec-a1bd-7ec7e3559253,2016-05-16,50.0,Mamaia Nord,Alin,income
1a5f77ec-d79d-11ec-a1bd-7ec7e3559253,2016-05-17,100.0,"Apartament City T5,ap 19",Mami,income
1a5f7800-d79d-11ec-a1bd-7ec7e3559253,2016-05-31,150.0,Teren Mamaia,Mami,income
1a5f781e-d79d-11ec-a1bd-7ec7e3559253,2016-06-03,200.0,Tomis 3 plan cotat,Ionescu,income
1a5f7832-d79d-11ec-a1bd-7ec7e3559253,2016-06-03,200.0,Plan cotat berarie,Ionescu,income
1a5f7850-d79d-11ec-a1bd-7ec7e3559253,2016-06-06,250.0,"IG Duca 12,Cumpana",Catalin,income
1a5f7864-d79d-11ec-a1bd-7ec7e3559253,2016-06-07,200.0,Theodor Sperantia 155,Ionescu,income
1a5f7882-d79d-11ec-a1bd-7ec7e3559253,2016-06-08,200.0,Trs Kogalniceanu,Bogdan,income
1a5f7896-d79d-11ec-a1bd-7ec7e3559253,2016-06-09,200.0,Soveja 38,Ionescu,income
1a5f78b4-d79d-11ec-a1bd-7ec7e3559253,2016-06-10,250.0,Viroaga,Ionescu,income
1a5f78c8-d79d-11ec-a1bd-7ec7e3559253,2016-06-18,250.0,"Mereni,Str Mare Nr 9",Mami,income
1a5f78dc-d79d-11ec-a1bd-7ec7e3559253,2016-06-20,250.0,Vasile Parvan 6A,Mami,income
1a5f78fa-d79d-11ec-a1bd-7ec7e3559253,2016-06-28,200.0,Trasare lot 18 Mamaia,Alin,income
1a5f790e-d79d-11ec-a1bd-7ec7e3559253,2016-06-28,500.0,Varuit eforie vila,Celina,income
1a5f792c-d79d-11ec-a1bd-7ec7e3559253,2016-07-02,250.0,"Cumpenei 6,Spalatorie",Ionescu,income
1a5f7940-d79d-11ec-a1bd-7ec7e3559253,2016-07-06,200.0,Plan cotat pt gaze Str D14 spre Navodari,Ionescu,income
1a5f795e-d79d-11ec-a1bd-7ec7e3559253,2016-07-07,50.0,Cota Mamaia Nord pt Cornel,Alin,income
1a5f7972-d79d-11ec-a1bd-7ec7e3559253,2016-07-08,100.0,Treaba eforie,Celina,income
1a5f7990-d79d-11ec-a1bd-7ec7e3559253,2016-07-08,300.0,Tarabe Tomis 3,Ionescu,income
1a5f79a4-d79d-11ec-a1bd-7ec7e3559253,2016-07-11,200.0,Plan gaze Mamaia,Ionescu,income
1a5f79b8-d79d-11ec-a1bd-7ec7e3559253,2016-07-11,250.0,Trasare 108317,Alin,income
1a5f79d6-d79d-11ec-a1bd-7ec7e3559253,2016-07-19,200.0,Stalpi inalta tensiune,Ionescu,income
1a5f79ea-d79d-11ec-a1bd-7ec7e3559253,2016-07-20,100.0,Ap 2 camere Ciresica,Mami,income
1a5f7a08-d79d-11ec-a1bd-7ec7e3559253,2016-07-21,100.0,Trasare Baba Novac Alexandru Steflea,Ionescu,income
1a5f7a1c-d79d-11ec-a1bd-7ec7e3559253,2016-07-21,250.0,Trasare groapa Mamaia Nord,Ionescu,income
1a5f7a3a-d79d-11ec-a1bd-7ec7e3559253,2016-07-22,100.0,Apartament Sucevei,Mami,income
1a5f7a4e-d79d-11ec-a1bd-7ec7e3559253,2016-07-22,100.0,Ap Brotacei,Mami,income
1a5f7a6c-d79d-11ec-a1bd-7ec7e3559253,2016-07-26,400.0,Andrei Muresan 45bis,Mami,income
1a5f7a80-d79d-11ec-a1bd-7ec7e3559253,2016-07-26,100.0,Ap Cora,Mami,income
1a5f7a9e-d79d-11ec-a1bd-7ec7e3559253,2016-07-26,350.0,Trs Groapa Kogalniceanu,Mami,income
1a5f7ab2-d79d-11ec-a1bd-7ec7e3559253,2016-07-27,100.0,Avans UM Corbu,Ionescu,income
1a5f7ac6-d79d-11ec-a1bd-7ec7e3559253,2016-07-29,400.0,Trs Axe kog,Mami,income
1a5f7ae4-d79d-11ec-a1bd-7ec7e3559253,2016-07-30,200.0,Plan Enel dega service auto,Ionescu,income
1a5f7af8-d79d-11ec-a1bd-7ec7e3559253,2016-07-30,300.0,"Lumina,Str Morii 8",Mami,income
1a5f7b16-d79d-11ec-a1bd-7ec7e3559253,2016-08-01,1000.0,Avans blocuri,Laur,income
1a5f7b98-d79d-11ec-a1bd-7ec7e3559253,2016-08-05,350.0,Trs axe D10,Alin,income
1a5f7bb6-d79d-11ec-a1bd-7ec7e3559253,2016-08-10,250.0,Trs Costinesti,Alin,income
1a5f7bca-d79d-11ec-a1bd-7ec7e3559253,2016-08-18,50.0,Ap Unirii Bloc C2,Alin,income
1a5f7be8-d79d-11ec-a1bd-7ec7e3559253,2016-08-18,150.0,Trs Techirghiol varianta,Bogdan,income
1a5f7bfc-d79d-11ec-a1bd-7ec7e3559253,2016-08-18,300.0,Trasare Cumpana Lucretia,Alin,income
1a5f7c1a-d79d-11ec-a1bd-7ec7e3559253,2016-08-23,1500.0,Unitati militare,Ionescu,income
1a5f7c2e-d79d-11ec-a1bd-7ec7e3559253,2016-08-24,1200.0,Canalizare Corbu,Ionescu,income
1a5f7c4c-d79d-11ec-a1bd-7ec7e3559253,2016-08-27,100.0,"Penes Curcanul 28, Bratianu",Ionescu,income
1a5f7c60-d79d-11ec-a1bd-7ec7e3559253,2016-08-27,200.0,Plan cotat Lumina,Ionescu,income
1a5f7c7e-d79d-11ec-a1bd-7ec7e3559253,2016-08-27,200.0,IC Bratianu 228,Ionescu,income
1a5f7c92-d79d-11ec-a1bd-7ec7e3559253,2016-09-01,125.0,Trs Lot 99 Edmont Gaudela Cta,Ionescu,income
1a5f7ca6-d79d-11ec-a1bd-7ec7e3559253,2016-09-08,200.0,Plan Palazu Mare,Ionescu,income
1a5f7cc4-d79d-11ec-a1bd-7ec7e3559253,2016-09-14,200.0,"Ap Iancu,Dispensarului",Mami,income
1a5f7cd8-d79d-11ec-a1bd-7ec7e3559253,2016-09-14,100.0,Mugurului 77,Ionescu,income
1a5f7cf6-d79d-11ec-a1bd-7ec7e3559253,2016-09-20,200.0,Calugareni 2A,Nicoleta,income
1a5f7d0a-d79d-11ec-a1bd-7ec7e3559253,2016-09-20,150.0,Trs Cumpana lot 4,Alin,income
1a5f7d1e-d79d-11ec-a1bd-7ec7e3559253,2016-09-27,150.0,Ap Kogalniceanu,Mami,income
1a5f7d3c-d79d-11ec-a1bd-7ec7e3559253,2016-09-29,300.0,Bloc Poporului/Lapusneanu,Ionescu,income
1a5f7d5a-d79d-11ec-a1bd-7ec7e3559253,2016-10-01,50.0,Cumpana teren gol,Bogdan,income
1a5f7d6e-d79d-11ec-a1bd-7ec7e3559253,2016-10-04,150.0,3 case :))))))))))))))),Laur,income
1a5f7d82-d79d-11ec-a1bd-7ec7e3559253,2016-10-05,200.0,Poporului 12,Mami,income
1a5f7da0-d79d-11ec-a1bd-7ec7e3559253,2016-10-08,300.0,Medgidia canalizare,Ionescu,income
1a5f7db4-d79d-11ec-a1bd-7ec7e3559253,2016-10-08,200.0,Alunis 2,Ionescu,income
1a5f7dd2-d79d-11ec-a1bd-7ec7e3559253,2016-10-10,500.0,Autostrada,Laur,income
1a5f7de6-d79d-11ec-a1bd-7ec7e3559253,2016-10-15,200.0,Fulgerului 60,Ionescu,income
1a5f7e04-d79d-11ec-a1bd-7ec7e3559253,2016-10-19,200.0,Kirculescu 11,Ionescu,income
1a5f7e18-d79d-11ec-a1bd-7ec7e3559253,2016-10-20,500.0,Autostrada,Laur,income
1a5f7e36-d79d-11ec-a1bd-7ec7e3559253,2016-10-20,200.0,"Ap Cristina,Dorobanti 13,Bloc Mamaia",Alin,income
1a5f7e4a-d79d-11ec-a1bd-7ec7e3559253,2016-10-20,50.0,Tabla Butii 6a,Laur,income
1a5f7e5e-d79d-11ec-a1bd-7ec7e3559253,2016-10-21,100.0,Roxy,Laur,income
1a5f7e7c-d79d-11ec-a1bd-7ec7e3559253,2016-10-21,100.0,Releveu Subsol,Laur,income
1a5f7e90-d79d-11ec-a1bd-7ec7e3559253,2016-10-21,100.0,Padrino,Laur,income
1a5f7eae-d79d-11ec-a1bd-7ec7e3559253,2016-10-25,100.0,Comarnic,Laur,income
1a5f7ec2-d79d-11ec-a1bd-7ec7e3559253,2016-10-29,200.0,Poiana,Ionescu,income
1a5f7ee0-d79d-11ec-a1bd-7ec7e3559253,2016-11-01,100.0,C.A.Rosetti 28,Laur,income
1a5f7ef4-d79d-11ec-a1bd-7ec7e3559253,2016-11-02,100.0,"Ap Progresului 6,bloc G6",Mami,income
